Model Type,Epoch,Model Size,Total Parameters,Accuracy,Loss
1 hidden,1,"(1, 3, 3, 1, 1, 1)",7720,82.70666666666666,0.62479650321355
1 hidden,2,"(1, 3, 3, 1, 1, 1)",7720,90.835,0.3120024607840505
1 hidden,3,"(1, 3, 3, 1, 1, 1)",7720,92.35833333333333,0.2626433561740717
1 hidden,4,"(1, 3, 3, 1, 1, 1)",7720,93.44333333333333,0.22736904036595243
1 hidden,5,"(1, 3, 3, 1, 1, 1)",7720,94.10833333333333,0.2017436876321144
1 hidden,1,"(1, 6, 3, 1, 1, 1)",15430,82.12,0.6358183039658105
1 hidden,2,"(1, 6, 3, 1, 1, 1)",15430,90.13666666666667,0.3359880250558924
1 hidden,3,"(1, 6, 3, 1, 1, 1)",15430,91.52166666666666,0.29370507712303195
1 hidden,4,"(1, 6, 3, 1, 1, 1)",15430,92.60166666666667,0.26143524887115716
1 hidden,5,"(1, 6, 3, 1, 1, 1)",15430,93.52666666666667,0.23014663325857
1 hidden,1,"(1, 12, 3, 1, 1, 1)",30850,84.27666666666667,0.5750271554694755
1 hidden,2,"(1, 12, 3, 1, 1, 1)",30850,91.18166666666667,0.3013706221890602
1 hidden,3,"(1, 12, 3, 1, 1, 1)",30850,92.92333333333333,0.24457933643717628
1 hidden,4,"(1, 12, 3, 1, 1, 1)",30850,94.25833333333334,0.2033424175290792
1 hidden,5,"(1, 12, 3, 1, 1, 1)",30850,95.11666666666666,0.1721707799279296
1 hidden,1,"(1, 18, 3, 1, 1, 1)",46270,86.43666666666667,0.5074552508241841
1 hidden,2,"(1, 18, 3, 1, 1, 1)",46270,92.86333333333333,0.25467212339724177
1 hidden,3,"(1, 18, 3, 1, 1, 1)",46270,94.37166666666667,0.20094228428262256
1 hidden,4,"(1, 18, 3, 1, 1, 1)",46270,95.39333333333333,0.1664948783028545
1 hidden,5,"(1, 18, 3, 1, 1, 1)",46270,95.98833333333333,0.14353758023817464
1 hidden,1,"(1, 24, 3, 1, 1, 1)",61690,85.50833333333334,0.5120350293465642
1 hidden,2,"(1, 24, 3, 1, 1, 1)",61690,91.83333333333333,0.28152579262947985
1 hidden,3,"(1, 24, 3, 1, 1, 1)",61690,93.46333333333334,0.22645450088737615
1 hidden,4,"(1, 24, 3, 1, 1, 1)",61690,94.76666666666667,0.18503983523934953
1 hidden,5,"(1, 24, 3, 1, 1, 1)",61690,95.61333333333333,0.15610904658018654
1 hidden,1,"(1, 24, 3, 1, 1, 1)",61690,85.68166666666667,0.5319812966625828
1 hidden,2,"(1, 24, 3, 1, 1, 1)",61690,92.67333333333333,0.2565704151225497
1 hidden,3,"(1, 24, 3, 1, 1, 1)",61690,94.315,0.20086380000958945
1 hidden,4,"(1, 24, 3, 1, 1, 1)",61690,95.34833333333333,0.1662431178189544
1 hidden,5,"(1, 24, 3, 1, 1, 1)",61690,95.97833333333334,0.14317719201479895
1 hidden,1,"(1, 30, 3, 1, 1, 1)",77110,86.66666666666667,0.4821454405006188
1 hidden,2,"(1, 30, 3, 1, 1, 1)",77110,92.885,0.2497769031228859
1 hidden,3,"(1, 30, 3, 1, 1, 1)",77110,94.52,0.19446973350923707
1 hidden,4,"(1, 30, 3, 1, 1, 1)",77110,95.56333333333333,0.15992171843565983
1 hidden,5,"(1, 30, 3, 1, 1, 1)",77110,96.27166666666666,0.13682241713814836
2 hidden,1,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,25.9,2.1667787394543954
2 hidden,2,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,79.63666666666667,0.668920117321172
2 hidden,3,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,85.95,0.44775941952078074
2 hidden,4,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,87.40333333333334,0.40159211723979854
2 hidden,5,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,88.11666666666666,0.3790700190754206
2 hidden,1,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,65.13666666666667,1.0905447376689423
2 hidden,2,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,88.43833333333333,0.3871782620006533
2 hidden,3,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,89.87666666666667,0.3395616127801602
2 hidden,4,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,90.685,0.3123308724161786
2 hidden,5,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,91.28333333333333,0.29415924042495073
2 hidden,1,"(1, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4240,77.53833333333333,0.7897782552121545
2 hidden,2,"(1, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4240,89.82,0.34308708278037336
2 hidden,3,"(1, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4240,91.81666666666666,0.2758584625240582
2 hidden,4,"(1, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4240,93.34166666666667,0.22291367466071013
2 hidden,5,"(1, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4240,94.59833333333333,0.18170030475425314
2 hidden,1,"(1, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6598,72.45166666666667,0.9800020166869357
2 hidden,2,"(1, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6598,92.05166666666666,0.2692824807296048
2 hidden,3,"(1, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6598,94.34333333333333,0.1930972958988409
2 hidden,4,"(1, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6598,95.62333333333333,0.15035156904658212
2 hidden,5,"(1, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6598,96.335,0.12417585061175991
2 hidden,1,"(1, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9118,78.76666666666667,0.7675807620686635
2 hidden,2,"(1, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9118,92.385,0.2558686924752777
2 hidden,3,"(1, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9118,94.72666666666667,0.1790490800868283
2 hidden,4,"(1, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9118,95.99833333333333,0.13679281312392463
2 hidden,5,"(1, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9118,96.74666666666667,0.11223801106377355
2 hidden,1,"(1, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",11800,78.36,0.7694547062298891
2 hidden,2,"(1, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",11800,92.24,0.2633792193316575
2 hidden,3,"(1, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",11800,94.56333333333333,0.18852343388012985
2 hidden,4,"(1, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",11800,95.78,0.14648556104227742
2 hidden,5,"(1, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",11800,96.455,0.1220649882886948
3 hidden,1,"(1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",200,11.326666666666666,2.297754830134703
3 hidden,2,"(1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",200,25.168333333333333,2.1662661012555997
3 hidden,3,"(1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",200,61.843333333333334,1.1330612562040785
3 hidden,4,"(1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",200,72.68666666666667,0.8339559649671319
3 hidden,5,"(1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",200,75.15333333333334,0.7665155437201071
3 hidden,1,"(1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",426,16.02,2.271711234090679
3 hidden,2,"(1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",426,64.42333333333333,1.0720047454462884
3 hidden,3,"(1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",426,76.77833333333334,0.6925557786340653
3 hidden,4,"(1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",426,79.8,0.611208817979166
3 hidden,5,"(1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",426,81.93333333333334,0.5481907002675508
3 hidden,1,"(1, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",986,41.265,1.7811061180730872
3 hidden,2,"(1, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",986,85.985,0.4511433212932493
3 hidden,3,"(1, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",986,90.65166666666667,0.3039944515760138
3 hidden,4,"(1, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",986,92.81666666666666,0.23175357666605317
3 hidden,5,"(1, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",986,94.155,0.1880832961611529
3 hidden,1,"(1, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1690,37.185,1.8740824118161252
3 hidden,2,"(1, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1690,86.56833333333333,0.4188147316863542
3 hidden,3,"(1, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1690,91.71,0.25939403998969335
3 hidden,4,"(1, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1690,93.62,0.2033257607195868
3 hidden,5,"(1, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1690,94.56166666666667,0.17131386068202795
3 hidden,1,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,25.903333333333332,2.2314082353608184
3 hidden,2,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,84.76666666666667,0.5315681714683708
3 hidden,3,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,91.87333333333333,0.26210818369823224
3 hidden,4,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,93.57333333333334,0.20531119610756826
3 hidden,5,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,94.665,0.1687672002109955
3 hidden,1,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,27.675,2.086429868806908
3 hidden,2,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,87.32666666666667,0.4038106320318637
3 hidden,3,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,92.81,0.22657435008886653
3 hidden,4,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,94.27,0.1793464652137525
3 hidden,5,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,95.23,0.15216017787509573
3 hidden,1,"(1, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3530,55.01,1.4107420977149436
3 hidden,2,"(1, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3530,90.09166666666667,0.3204864262263658
3 hidden,3,"(1, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3530,93.42166666666667,0.21219570715941471
3 hidden,4,"(1, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3530,94.87333333333333,0.16415247683729062
3 hidden,5,"(1, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3530,95.73,0.136253045703064
1 hidden,1,"(1, 3, 3, 1, 1, 1)",7720,80.61,0.8074046035152255
1 hidden,2,"(1, 3, 3, 1, 1, 1)",7720,91.12666666666667,0.30991074456366646
1 hidden,3,"(1, 3, 3, 1, 1, 1)",7720,92.92166666666667,0.2510068297370283
1 hidden,4,"(1, 3, 3, 1, 1, 1)",7720,93.88833333333334,0.21574297440903528
1 hidden,5,"(1, 3, 3, 1, 1, 1)",7720,94.55666666666667,0.1918953527043115
1 hidden,1,"(1, 6, 3, 1, 1, 1)",15430,81.885,0.6627133925205101
1 hidden,2,"(1, 6, 3, 1, 1, 1)",15430,91.16666666666667,0.2980315210595568
1 hidden,3,"(1, 6, 3, 1, 1, 1)",15430,93.24166666666666,0.23635127106264456
1 hidden,4,"(1, 6, 3, 1, 1, 1)",15430,94.42666666666666,0.19591987900324723
1 hidden,5,"(1, 6, 3, 1, 1, 1)",15430,95.315,0.1655777171194585
1 hidden,1,"(1, 12, 3, 1, 1, 1)",30850,85.06,0.5298894912576371
1 hidden,2,"(1, 12, 3, 1, 1, 1)",30850,91.60666666666667,0.28582542857476895
1 hidden,3,"(1, 12, 3, 1, 1, 1)",30850,93.39666666666666,0.23109750647042224
1 hidden,4,"(1, 12, 3, 1, 1, 1)",30850,94.45666666666666,0.19404233071897456
1 hidden,5,"(1, 12, 3, 1, 1, 1)",30850,95.33666666666667,0.16707278446141463
1 hidden,1,"(1, 18, 3, 1, 1, 1)",46270,85.49333333333334,0.544835435206702
1 hidden,2,"(1, 18, 3, 1, 1, 1)",46270,92.075,0.27598170607265377
1 hidden,3,"(1, 18, 3, 1, 1, 1)",46270,93.57,0.22355490725145918
1 hidden,4,"(1, 18, 3, 1, 1, 1)",46270,94.69,0.18652980643183564
1 hidden,5,"(1, 18, 3, 1, 1, 1)",46270,95.575,0.1598396665656935
1 hidden,1,"(1, 24, 3, 1, 1, 1)",61690,86.00833333333334,0.5042480642972852
1 hidden,2,"(1, 24, 3, 1, 1, 1)",61690,92.48,0.25921250020723735
1 hidden,3,"(1, 24, 3, 1, 1, 1)",61690,94.20166666666667,0.2040587794988839
1 hidden,4,"(1, 24, 3, 1, 1, 1)",61690,95.33666666666667,0.16693823044297537
1 hidden,5,"(1, 24, 3, 1, 1, 1)",61690,95.98166666666667,0.14249923684274846
1 hidden,1,"(1, 24, 3, 1, 1, 1)",61690,86.90166666666667,0.49493944759307895
1 hidden,2,"(1, 24, 3, 1, 1, 1)",61690,93.11,0.24613940685606206
1 hidden,3,"(1, 24, 3, 1, 1, 1)",61690,94.53,0.1944602162900891
1 hidden,4,"(1, 24, 3, 1, 1, 1)",61690,95.43666666666667,0.1625339945039547
1 hidden,5,"(1, 24, 3, 1, 1, 1)",61690,96.1,0.13977110848775995
1 hidden,1,"(1, 30, 3, 1, 1, 1)",77110,87.66666666666667,0.47526705426289073
1 hidden,2,"(1, 30, 3, 1, 1, 1)",77110,93.39166666666667,0.23487022488928044
1 hidden,3,"(1, 30, 3, 1, 1, 1)",77110,94.88166666666666,0.1828096523317002
1 hidden,4,"(1, 30, 3, 1, 1, 1)",77110,95.77333333333333,0.15110848790038622
1 hidden,5,"(1, 30, 3, 1, 1, 1)",77110,96.42833333333333,0.12969590852589113
2 hidden,1,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,18.826666666666668,2.237622995874775
2 hidden,2,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,82.08333333333333,0.6008515848216217
2 hidden,3,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,86.995,0.41577577257334297
2 hidden,4,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,87.92333333333333,0.38449430387856354
2 hidden,5,"(1, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1)",689,88.41,0.3670790783489056
2 hidden,1,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,58.325,1.3178034034142616
2 hidden,2,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,90.69,0.312516989722562
2 hidden,3,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,92.86,0.23806076972628198
2 hidden,4,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,94.06166666666667,0.19938605219356095
2 hidden,5,"(1, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1)",2044,94.71833333333333,0.17713855413882845
2 hidden,1,"(1, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4240,72.74833333333333,0.9179850747860444
2 hidden,2,"(1, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4240,90.47,0.32304209004491885
2 hidden,3,"(1, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4240,93.12666666666667,0.2335726704551721
2 hidden,4,"(1, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4240,94.81833333333333,0.17647904204502543
2 hidden,5,"(1, 6, 3, 1, 1, 1, 6, 3, 1, 1, 1)",4240,95.8,0.14353901627205456
2 hidden,1,"(1, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6598,75.41,0.831552544827146
2 hidden,2,"(1, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6598,91.96166666666667,0.271850260792733
2 hidden,3,"(1, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6598,94.435,0.19085965591913728
2 hidden,4,"(1, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6598,95.66166666666666,0.1482092341237358
2 hidden,5,"(1, 9, 3, 1, 1, 1, 9, 3, 1, 1, 1)",6598,96.41,0.1232944686613135
2 hidden,1,"(1, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9118,77.84333333333333,0.792083387257162
2 hidden,2,"(1, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9118,93.89333333333333,0.20430774436687738
2 hidden,3,"(1, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9118,95.47666666666667,0.15094478423399393
2 hidden,4,"(1, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9118,96.2,0.12605446903531486
2 hidden,5,"(1, 12, 3, 1, 1, 1, 12, 3, 1, 1, 1)",9118,96.60666666666667,0.11171643461472094
2 hidden,1,"(1, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",11800,80.45833333333333,0.7459872292716112
2 hidden,2,"(1, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",11800,93.955,0.20666379850111535
2 hidden,3,"(1, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",11800,95.715,0.145546271028851
2 hidden,4,"(1, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",11800,96.55,0.11600648392357234
2 hidden,5,"(1, 15, 3, 1, 1, 1, 15, 3, 1, 1, 1)",11800,97.185,0.09846057036796263
3 hidden,1,"(1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",200,10.433333333333334,2.3061662597188564
3 hidden,2,"(1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",200,11.236666666666666,2.3020042056467998
3 hidden,3,"(1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",200,11.236666666666666,2.301372457923157
3 hidden,4,"(1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",200,11.236666666666666,2.3012407647012902
3 hidden,5,"(1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1)",200,11.236666666666666,2.3012211045730853
3 hidden,1,"(1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",426,10.538333333333334,2.3033044978753843
3 hidden,2,"(1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",426,11.236666666666666,2.3014480577094725
3 hidden,3,"(1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",426,11.236666666666666,2.3008003880474357
3 hidden,4,"(1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",426,11.323333333333334,2.296811500083663
3 hidden,5,"(1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 1)",426,38.835,1.7966457474142759
3 hidden,1,"(1, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",986,13.773333333333333,2.297297766976265
3 hidden,2,"(1, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",986,57.651666666666664,1.4324018751729781
3 hidden,3,"(1, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",986,89.12666666666667,0.35594069585204124
3 hidden,4,"(1, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",986,90.90666666666667,0.29491805571959473
3 hidden,5,"(1, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1, 4, 4, 3, 1, 1, 1)",986,92.03166666666667,0.25728543405371435
3 hidden,1,"(1, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1690,25.785,2.1697860954285684
3 hidden,2,"(1, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1690,86.4,0.4557222252223156
3 hidden,3,"(1, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1690,92.11833333333334,0.2627444001855944
3 hidden,4,"(1, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1690,93.74166666666666,0.20338130174383426
3 hidden,5,"(1, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1, 6, 6, 3, 1, 1, 1)",1690,94.82833333333333,0.16870519352842495
3 hidden,1,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,44.37,1.8240886729663368
3 hidden,2,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,89.74666666666667,0.34747946302074867
3 hidden,3,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,93.485,0.21435366914486453
3 hidden,4,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,94.675,0.17016046797570739
3 hidden,5,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,95.56166666666667,0.14429552154317657
3 hidden,1,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,47.205,1.5965450651038176
3 hidden,2,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,88.95333333333333,0.3599042191164199
3 hidden,3,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,93.035,0.23017407381839589
3 hidden,4,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,94.53666666666666,0.17692923267830662
3 hidden,5,"(1, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1, 8, 8, 3, 1, 1, 1)",2538,95.595,0.14544822671500318
3 hidden,1,"(1, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3530,36.00333333333333,2.0388696394495365
3 hidden,2,"(1, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3530,88.425,0.37945773037893177
3 hidden,3,"(1, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3530,93.74166666666666,0.20094232509004029
3 hidden,4,"(1, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3530,95.33333333333333,0.14946388478464345
3 hidden,5,"(1, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1, 10, 10, 3, 1, 1, 1)",3530,96.12333333333333,0.12656093515884648
